id,pop,lat,long,species,lineage,Taxon,tissues,note,include,reduce,river,region,phylo_label
NE1206.2,PU1206,-24.249833,147.6344833,NE,East_Coast,erebi,yes,NA,include,include,Fitzroy_QLD,CEQ,NE1206.2_Fitzroy_QLD
NE1436.1,PU1436,-23.65723,148.07486,NE,East_Coast,erebi,yes,NA,include,include,Fitzroy_QLD,CEQ,NE1436.1_Fitzroy_QLD
NE1436.2,PU1436,-23.65723,148.07486,NE,East_Coast,erebi,yes,NA,include,include,Fitzroy_QLD,CEQ,NE1436.2_Fitzroy_QLD
NEManning.1,Manning,-16.65568651,125.9272916,NE,W_Kimb,paracome,yes,low heterozygosity,include,include,Fitzroy_WA,W_Kimb,NEManning.1_Fitzroy_WA
NEManning.2,Manning,-16.65568651,125.9272916,NE,W_Kimb,paracome,yes,low heterozygosity,include,include,Fitzroy_WA,W_Kimb,NEManning.2_Fitzroy_WA
NEBlina.1,Blina,-17.96335,124.27679,NE,W_Kimb,paracome,yes,NA,include,include,Fitzroy_WA,W_Kimb,NEBlina.1_Fitzroy_WA
NEBlina.2,Blina,-17.96335,124.27679,NE,W_Kimb,paracome,yes,NA,include,include,Fitzroy_WA,W_Kimb,NEBlina.2_Fitzroy_WA
NEBlina.3,Blina,-17.96335,124.27679,NE,W_Kimb,paracome,yes,NA,include,include,Fitzroy_WA,W_Kimb,NEBlina.3_Fitzroy_WA
NEBlina.4,Blina,-17.96335,124.27679,NE,W_Kimb,paracome,yes,NA,include,include,Fitzroy_WA,W_Kimb,NEBlina.4_Fitzroy_WA
NPFly.1,Fly,-7.062951,141.09814,NP,delete,papuensis,yes,NA,include,include,Fly,PNG,NPFly.1_Fly
NPFly.2,Fly,-7.062951,141.09814,NP,delete,papuensis,yes,NA,include,include,Fly,PNG,NPFly.2_Fly
NPFly.3,Fly,-7.062951,141.09814,NP,delete,papuensis,yes,NA,include,include,Fly,PNG,NPFly.3_Fly
NPFly.4,Fly,-7.062951,141.09814,NP,delete,papuensis,yes,NA,include,include,Fly,PNG,NPFly.4_Fly
NPFly.5,Fly,-7.062951,141.09814,NP,delete,papuensis,yes,NA,include,include,Fly,PNG,NPFly.5_Fly
NPFly.6,Fly,-7.062951,141.09814,NP,delete,papuensis,yes,NA,include,include,Fly,PNG,NPFly.6_Fly
NPFly.7,Fly,-7.062951,141.09814,NP,delete,papuensis,yes,NA,include,include,Fly,PNG,NPFly.7_Fly
NPFly.8,Fly,-7.062951,141.09814,NP,delete,papuensis,yes,NA,include,include,Fly,PNG,NPFly.8_Fly
NPFly.9,Fly,-7.062951,141.09814,NP,delete,papuensis,yes,NA,include,include,Fly,PNG,NPFly.9_Fly
NPFly.10,Fly,-7.062951,141.09814,NP,delete,papuensis,yes,NA,include,include,Fly,PNG,NPFly.10_Fly
NEFortescue.1,Fortescue,-21.292,116.145,NE,Pilbara,Pilbara sp. nov.,yes,NA,include,include,Fortescue,Pilbara,NEFortescue.1_Fortescue
NEFortescue.2,Fortescue,-21.292,116.145,NE,Pilbara,Pilbara sp. nov.,yes,NA,include,include,Fortescue,Pilbara,NEFortescue.2_Fortescue
NEFortescue.3,Fortescue,-21.292,116.145,NE,Pilbara,Pilbara sp. nov.,yes,NA,include,include,Fortescue,Pilbara,NEFortescue.3_Fortescue
NEFortescue.4,Fortescue,-21.292,116.145,NE,Pilbara,Pilbara sp. nov.,yes,NA,include,include,Fortescue,Pilbara,NEFortescue.4_Fortescue
NEAngurrkburna.1,Angurrkburna,-14.225,136.759,NE,Northern,richardsoni,yes,NA,include,include,Groote_Eylandt,Gulf,NEAngurrkburna.1_Groote_Eylandt
NEDillie.1,Dillie,-16.734156,125.383121,NE,W_Kimb,paracome,yes,NA,include,include,Isdell,W_Kimb,NEDillie.1_Isdell
NEDillie.2,Dillie,-16.734156,125.383121,NE,W_Kimb,paracome,yes,NA,include,include,Isdell,W_Kimb,NEDillie.2_Isdell
NEKoolatong.1,Koolatong,-13.105194,135.725861,NE,Northern,richardsoni,yes,coordinates guessed,include,include,Koolatong,Gulf,NEKoolatong.1_Koolatong
NE1427.1,PU1427,-25.37004409,142.7445586,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Cooper,LEB,NE1427.1_LEB_Cooper
NE1427.2,PU1427,-25.37004409,142.7445586,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Cooper,LEB,NE1427.2_LEB_Cooper
NE1433.1,PU1433,-24.4265129,145.4594653,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Cooper,LEB,NE1433.1_LEB_Cooper
NE1433.2,PU1433,-24.4265129,145.4594653,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Cooper,LEB,NE1433.2_LEB_Cooper
NE1434.1,PU1434,-22.60298,145.67467,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Cooper,LEB,NE1434.1_LEB_Cooper
NE1434.2,PU1434,-22.60298,145.67467,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Cooper,LEB,NE1434.2_LEB_Cooper
NE2450.1,PU2450,-23.708851,141.095849,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Diamantina,LEB,NE2450.1_LEB_Diamantina
NE2450.2,PU2450,-23.708851,141.095849,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Diamantina,LEB,NE2450.2_LEB_Diamantina
NEBobbiemoonga.1,Bobbiemoonga,-26.598917,139.553167,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Diamantina,LEB,NEBobbiemoonga.1_LEB_Diamantina
NEBobbiemoonga.2,Bobbiemoonga,-26.598917,139.553167,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Diamantina,LEB,NEBobbiemoonga.2_LEB_Diamantina
NEFrome.1,Frome,-29.613861,138.100944,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Eyre,LEB,NEFrome.1_LEB_Eyre
NEFrome.2,Frome,-29.613861,138.100944,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Eyre,LEB,NEFrome.2_LEB_Eyre
NEFinke.1,Finke,-24.3081,132.903,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Finke,LEB,NEFinke.1_LEB_Finke
NEFinke.2,Finke,-24.3081,132.903,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Finke,LEB,NEFinke.2_LEB_Finke
NEFinke.3,Finke,-25.466306,134.220139,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Finke,LEB,NEFinke.3_LEB_Finke
NEFinke.4,Finke,-25.466306,134.220139,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Finke,LEB,NEFinke.4_LEB_Finke
NEMachettie.1,Machettie,-24.917,139.649083,NE,MDB_LEB,richardsoni,yes,coordinates guessed,include,include,LEB_Georgina,LEB,NEMachettie.1_LEB_Georgina
NEMachettie.2,Machettie,-24.917,139.649083,NE,MDB_LEB,richardsoni,yes,coordinates guessed,include,include,LEB_Georgina,LEB,NEMachettie.2_LEB_Georgina
NEGunpowder.1,Gunpowder,-20.12675,139.125361,NE,Northern,richardsoni,yes,NA,include,include,Leichhardt,Gulf,NEGunpowder.1_Leichhardt
NEGunpowder.2,Gunpowder,-20.12675,139.125361,NE,Northern,richardsoni,yes,NA,include,include,Leichhardt,Gulf,NEGunpowder.2_Leichhardt
NE26Mile.1,26Mile,-20.317444,137.9515,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Georgina,LEB,NE26Mile.1_LEB_Georgina
NELibby.1,Libby,-20.232778,137.699722,NE,MDB_LEB,richardsoni,yes,NA,include,include,LEB_Georgina,LEB,NELibby.1_LEB_Georgina
